Date, Open, High, Low, Close
2/1/2011,1289.14,1308.86,1289.14,1307.59
1/31/2011,1276.5,1287.17,1276.5,1286.12
1/28/2011,1299.63,1302.67,1275.1,1276.34
1/27/2011,1297.51,1301.29,1294.41,1299.54
1/26/2011,1291.97,1299.74,1291.97,1296.63
1/25/2011,1288.17,1291.26,1281.07,1291.18
1/24/2011,1283.29,1291.93,1282.47,1290.84
1/21/2011,1283.63,1291.21,1282.07,1283.35
1/20/2011,1280.85,1283.35,1271.26,1280.26
1/19/2011,1294.52,1294.6,1278.92,1281.92
1/18/2011,1293.22,1296.06,1290.16,1295.02
1/14/2011,1282.9,1293.24,1293.24,1293.24
1/13/2011,1285.78,1286.7,1280.47,1283.76
1/12/2011,1275.65,1286.87,1275.65,1285.96
1/11/2011,1272.58,1277.25,1269.62,1274.48
1/10/2011,1270.84,1271.52,1262.18,1269.75
1/7/2011,1274.41,1276.83,1261.7,1271.5
1/6/2011,1276.29,1278.17,1270.43,1273.85
1/5/2011,1268.78,1277.63,1265.36,1276.56
1/4/2011,1272.95,1274.12,1262.66,1270.2
1/3/2011,1257.62,1276.17,1257.62,1271.87
12/31/2010,1256.76,1259.34,1254.19,1257.64
12/30/2010,1259.44,1261.09,1256.32,1257.88
12/29/2010,1258.78,1262.6,1258.78,1259.78
12/28/2010,1259.1,1259.9,1256.22,1258.51
12/27/2010,1254.66,1258.43,1251.48,1257.54
12/23/2010,1257.53,1258.59,1254.05,1256.77
12/22/2010,1254.94,1259.39,1254.94,1258.84
12/21/2010,1249.43,1254.61,1249.43,1254.6
12/20/2010,1245.76,1250.2,1241.51,1247.08
12/17/2010,1243.63,1245.81,1239.87,1243.91
12/16/2010,1236.34,1243.75,1232.85,1242.87
12/15/2010,1241.58,1244.25,1234.01,1235.23
12/14/2010,1241.84,1246.59,1238.17,1241.59
12/13/2010,1242.52,1246.73,1240.34,1240.46
12/10/2010,1233.85,1240.4,1232.58,1240.4
12/9/2010,1230.14,1234.71,1226.85,1233
12/8/2010,1225.02,1228.93,1219.5,1228.28
12/7/2010,1227.25,1235.05,1223.25,1223.75
12/6/2010,1223.87,1225.8,1220.67,1223.12
12/3/2010,1219.93,1225.57,1216.82,1224.71
12/2/2010,1206.81,1221.89,1206.81,1221.53
12/1/2010,1186.6,1207.61,1186.6,1206.07
11/30/2010,1182.96,1187.4,1174.14,1180.55
11/29/2010,1189.08,1190.34,1173.64,1187.76
11/26/2010,1194.16,1194.16,1186.93,1189.4
11/24/2010,1183.7,1198.62,1183.7,1198.35
11/23/2010,1192.51,1192.51,1176.91,1180.73
11/22/2010,1198.07,1198.94,1184.58,1197.84
11/19/2010,1196.12,1199.97,1189.44,1199.73
11/18/2010,1183.75,1200.29,1183.75,1196.69
11/17/2010,1178.33,1183.56,1175.82,1178.59
11/16/2010,1194.79,1194.79,1173,1178.34
11/15/2010,1200.44,1207.43,1197.15,1197.75
11/12/2010,1209.07,1210.5,1194.08,1199.21
11/11/2010,1213.04,1215.45,1204.49,1213.54
11/10/2010,1213.14,1218.75,1204.33,1218.71
11/9/2010,1223.59,1226.84,1208.94,1213.4
11/8/2010,1223.24,1224.57,1217.55,1223.25
11/5/2010,1221.2,1227.08,1220.29,1225.85
11/4/2010,1198.34,1221.25,1198.34,1221.06
11/3/2010,1193.79,1198.3,1183.56,1197.96
11/2/2010,1187.86,1195.88,1187.86,1193.57
11/1/2010,1185.71,1195.81,1177.65,1184.38
10/29/2010,1183.87,1185.46,1179.7,1183.26
10/28/2010,1184.47,1189.53,1177.1,1183.78
10/27/2010,1183.84,1183.84,1171.7,1182.45
10/26/2010,1184.88,1187.11,1177.72,1185.64
10/25/2010,1184.74,1196.14,1184.74,1185.62
10/22/2010,1180.52,1183.93,1178.99,1183.08
10/21/2010,1179.82,1189.43,1171.17,1180.26
10/20/2010,1166.74,1182.94,1166.74,1178.17
10/19/2010,1178.64,1178.64,1159.71,1165.9
10/18/2010,1176.83,1185.53,1174.55,1184.71
10/15/2010,1177.47,1181.2,1167.12,1176.19
10/14/2010,1177.82,1178.89,1166.71,1173.81
10/13/2010,1171.32,1184.38,1171.32,1178.1
10/12/2010,1164.28,1172.58,1155.71,1169.77
10/11/2010,1165.32,1168.68,1162.02,1165.32
10/8/2010,1158.36,1167.73,1155.58,1165.15
10/7/2010,1161.57,1163.87,1151.41,1158.06
10/6/2010,1159.81,1162.33,1154.85,1159.97
10/5/2010,1140.68,1162.76,1140.68,1160.75
10/4/2010,1144.96,1148.16,1131.87,1137.03
10/1/2010,1143.49,1150.3,1139.42,1146.24
9/30/2010,1145.97,1157.16,1136.08,1141.2
9/29/2010,1146.75,1148.63,1140.26,1144.73
9/28/2010,1142.31,1150,1132.09,1147.7
9/27/2010,1148.64,1149.92,1142,1142.16
9/24/2010,1131.69,1148.9,1131.69,1148.67
9/23/2010,1131.1,1136.77,1122.79,1124.83
9/22/2010,1139.49,1144.38,1131.58,1134.28
9/21/2010,1142.82,1148.59,1136.22,1139.78
9/20/2010,1126.57,1144.86,1126.57,1142.71
9/17/2010,1126.39,1131.47,1122.43,1125.59
9/16/2010,1123.89,1125.44,1118.88,1124.66
9/15/2010,1119.43,1126.46,1114.63,1125.07
9/14/2010,1121.16,1127.36,1115.58,1121.1
9/13/2010,1113.38,1123.87,1113.38,1121.9
9/10/2010,1104.57,1110.88,1103.92,1109.55
9/9/2010,1101.15,1110.27,1101.15,1104.18
9/8/2010,1092.36,1103.26,1092.36,1098.87
9/7/2010,1102.6,1102.6,1091.15,1091.84
9/3/2010,1093.61,1105.1,1093.61,1104.51
9/2/2010,1080.66,1090.1,1080.39,1090.1
9/1/2010,1049.72,1081.3,1049.72,1080.29
8/31/2010,1046.88,1055.14,1040.88,1049.33
8/30/2010,1062.9,1064.4,1048.79,1048.92
8/27/2010,1049.27,1065.21,1039.7,1064.59
8/26/2010,1047.91,1056.28,1045.4,1047.22
8/25/2010,1048.98,1059.38,1039.83,1055.33
8/24/2010,1063.2,1063.2,1046.68,1051.87
8/23/2010,1073.36,1081.58,1067.08,1067.36
8/20/2010,1075.63,1075.63,1063.91,1071.69
8/19/2010,1092.44,1092.44,1070.66,1075.63
8/18/2010,1092.08,1099.77,1085.76,1094.16
8/17/2010,1081.16,1100.14,1081.16,1092.54
8/16/2010,1077.49,1082.62,1069.49,1079.38
8/13/2010,1082.22,1086.25,1079,1079.25
8/12/2010,1081.48,1086.72,1076.69,1083.61
8/11/2010,1116.89,1116.89,1088.55,1089.47
8/10/2010,1122.92,1127.16,1111.58,1121.06
8/9/2010,1122.8,1129.24,1120.91,1127.79
8/6/2010,1122.07,1123.06,1107.17,1121.64
8/5/2010,1125.78,1126.56,1118.81,1125.81
8/4/2010,1121.06,1128.75,1119.46,1127.24
8/3/2010,1125.34,1125.44,1116.76,1120.46
8/2/2010,1107.53,1127.3,1107.53,1125.86
7/30/2010,1098.44,1106.44,1088.01,1101.6
7/29/2010,1108.07,1115.9,1092.82,1101.53
7/28/2010,1112.84,1114.66,1103.11,1106.13
7/27/2010,1117.36,1120.95,1109.78,1113.84
7/26/2010,1102.89,1115.01,1101.3,1115.01
7/23/2010,1092.17,1103.73,1087.88,1102.66
7/22/2010,1072.14,1097.5,1072.14,1093.67
7/21/2010,1086.67,1088.96,1065.25,1069.59
7/20/2010,1064.53,1083.94,1056.88,1083.48
7/19/2010,1066.85,1074.7,1061.11,1071.25
7/16/2010,1093.85,1093.85,1063.32,1064.88
7/15/2010,1094.46,1098.66,1080.53,1096.48
7/14/2010,1095.61,1099.08,1087.68,1095.17
7/13/2010,1080.65,1099.46,1080.65,1095.34
7/12/2010,1077.23,1080.78,1070.45,1078.75
7/9/2010,1070.5,1078.16,1068.1,1077.96
7/8/2010,1062.92,1071.25,1058.24,1070.25
7/7/2010,1028.54,1060.89,1028.54,1060.27
7/6/2010,1028.09,1042.5,1018.35,1028.06
7/2/2010,1027.65,1032.95,1015.93,1022.58
7/1/2010,1031.1,1033.58,1010.91,1027.37
6/30/2010,1040.56,1048.08,1028.33,1030.71
6/29/2010,1071.1,1071.1,1035.18,1041.24
6/28/2010,1074.89,1082.6,1071.45,1074.57
6/25/2010,1075.1,1083.56,1067.89,1076.76
6/24/2010,1090.93,1090.93,1071.6,1073.69
6/23/2010,1095.57,1099.64,1085.31,1092.04
6/22/2010,1113.9,1118.5,1094.18,1095.31
6/21/2010,1122.79,1131.23,1108.24,1113.2
6/18/2010,1116.16,1121.01,1113.93,1117.51
6/17/2010,1115.98,1117.72,1105.87,1116.04
6/16/2010,1114.02,1118.74,1107.13,1114.61
6/15/2010,1091.21,1115.59,1091.21,1115.23
6/14/2010,1095,1105.91,1089.03,1089.63
6/11/2010,1082.65,1092.25,1077.12,1091.6
6/10/2010,1058.77,1087.85,1058.77,1086.84
6/9/2010,1062.75,1077.74,1052.25,1055.69
6/8/2010,1050.81,1063.15,1042.17,1062
6/7/2010,1065.84,1071.36,1049.86,1050.47
6/4/2010,1098.43,1098.43,1060.5,1064.88
6/3/2010,1098.82,1105.67,1091.81,1102.83
6/2/2010,1073.01,1098.56,1072.03,1098.38
6/1/2010,1087.3,1094.77,1069.89,1070.71
5/28/2010,1102.59,1102.59,1084.78,1089.41
5/27/2010,1074.27,1103.52,1074.27,1103.06
5/26/2010,1075.51,1090.75,1065.59,1067.95
5/25/2010,1067.42,1074.75,1040.78,1074.03
5/24/2010,1084.78,1089.95,1072.7,1073.65
5/21/2010,1067.26,1090.16,1055.9,1087.69
5/20/2010,1107.34,1107.34,1071.58,1071.59
5/19/2010,1119.57,1124.27,1100.66,1115.05
5/18/2010,1138.78,1148.66,1117.2,1120.8
