Category,OECD
1/1/90 0:00,101.3784
2/1/90 0:00,101.312
3/1/90 0:00,101.2495
4/1/90 0:00,101.2159
5/1/90 0:00,101.1295
6/1/90 0:00,101.0027
7/1/90 0:00,100.7789
8/1/90 0:00,100.3775
9/1/90 0:00,99.939
10/1/90 0:00,99.65176
11/1/90 0:00,99.58183
12/1/90 0:00,99.62447
1/1/91 0:00,99.71861
2/1/91 0:00,99.97922
3/1/91 0:00,100.3621
4/1/91 0:00,100.5047
5/1/91 0:00,100.4959
6/1/91 0:00,100.4507
7/1/91 0:00,100.3885
8/1/91 0:00,100.3434
9/1/91 0:00,100.2845
10/1/91 0:00,100.0947
11/1/91 0:00,99.82705
12/1/91 0:00,99.63383
1/1/92 0:00,99.57584
2/1/92 0:00,99.67153
3/1/92 0:00,99.83745
4/1/92 0:00,99.93598
5/1/92 0:00,99.94246
6/1/92 0:00,99.84306
7/1/92 0:00,99.64725
8/1/92 0:00,99.42638
9/1/92 0:00,99.23643
10/1/92 0:00,99.17379
11/1/92 0:00,99.30472
12/1/92 0:00,99.4576
1/1/93 0:00,99.52792
2/1/93 0:00,99.52586
3/1/93 0:00,99.51613
4/1/93 0:00,99.48855
5/1/93 0:00,99.37406
6/1/93 0:00,99.21685
7/1/93 0:00,99.09023
8/1/93 0:00,99.0434
9/1/93 0:00,99.06612
10/1/93 0:00,99.16117
11/1/93 0:00,99.33882
12/1/93 0:00,99.65054
1/1/94 0:00,99.97492
2/1/94 0:00,100.1959
3/1/94 0:00,100.3436
4/1/94 0:00,100.4978
5/1/94 0:00,100.6546
6/1/94 0:00,100.7843
7/1/94 0:00,100.8776
8/1/94 0:00,100.9795
9/1/94 0:00,101.0529
10/1/94 0:00,101.0778
11/1/94 0:00,101.0584
12/1/94 0:00,101.0299
1/1/95 0:00,100.9819
2/1/95 0:00,100.8546
3/1/95 0:00,100.7134
4/1/95 0:00,100.6681
5/1/95 0:00,100.6903
6/1/95 0:00,100.7888
7/1/95 0:00,100.8601
8/1/95 0:00,100.8396
9/1/95 0:00,100.706
10/1/95 0:00,100.5898
11/1/95 0:00,100.5109
12/1/95 0:00,100.4866
1/1/96 0:00,100.4887
2/1/96 0:00,100.5271
3/1/96 0:00,100.6094
4/1/96 0:00,100.637
5/1/96 0:00,100.63
6/1/96 0:00,100.6546
7/1/96 0:00,100.6945
8/1/96 0:00,100.7384
9/1/96 0:00,100.7602
10/1/96 0:00,100.7663
11/1/96 0:00,100.7503
12/1/96 0:00,100.7186
1/1/97 0:00,100.7434
2/1/97 0:00,100.8279
3/1/97 0:00,100.943
4/1/97 0:00,101.0908
5/1/97 0:00,101.2596
6/1/97 0:00,101.4145
7/1/97 0:00,101.52
8/1/97 0:00,101.5458
9/1/97 0:00,101.5326
10/1/97 0:00,101.477
11/1/97 0:00,101.4253
12/1/97 0:00,101.3851
1/1/98 0:00,101.4396
2/1/98 0:00,101.5246
3/1/98 0:00,101.5615
4/1/98 0:00,101.5708
5/1/98 0:00,101.5346
6/1/98 0:00,101.4703
7/1/98 0:00,101.4156
8/1/98 0:00,101.3459
9/1/98 0:00,101.2897
10/1/98 0:00,101.297
11/1/98 0:00,101.4043
12/1/98 0:00,101.5176
1/1/99 0:00,101.6715
2/1/99 0:00,101.7711
3/1/99 0:00,101.7605
4/1/99 0:00,101.7306
5/1/99 0:00,101.7487
6/1/99 0:00,101.7943
7/1/99 0:00,101.8316
8/1/99 0:00,101.8739
9/1/99 0:00,101.9407
10/1/99 0:00,102.0158
11/1/99 0:00,102.1176
12/1/99 0:00,102.2256
1/1/00 0:00,102.3403
2/1/00 0:00,102.3501
3/1/00 0:00,102.3002
4/1/00 0:00,102.2806
5/1/00 0:00,102.2727
6/1/00 0:00,102.24
7/1/00 0:00,102.2333
8/1/00 0:00,102.1742
9/1/00 0:00,102.0449
10/1/00 0:00,101.948
11/1/00 0:00,101.8163
12/1/00 0:00,101.606
1/1/01 0:00,101.4004
2/1/01 0:00,101.2314
3/1/01 0:00,101.1347
4/1/01 0:00,101.0697
5/1/01 0:00,101.0246
6/1/01 0:00,100.983
7/1/01 0:00,100.8913
8/1/01 0:00,100.6953
9/1/01 0:00,100.435
10/1/01 0:00,100.3091
11/1/01 0:00,100.3668
12/1/01 0:00,100.5518
1/1/02 0:00,100.7214
2/1/02 0:00,100.8482
3/1/02 0:00,100.9558
4/1/02 0:00,100.9849
5/1/02 0:00,100.9733
6/1/02 0:00,100.8588
7/1/02 0:00,100.704
8/1/02 0:00,100.5537
9/1/02 0:00,100.4066
10/1/02 0:00,100.2461
11/1/02 0:00,100.1321
12/1/02 0:00,99.98833
1/1/03 0:00,99.78726
2/1/03 0:00,99.61472
3/1/03 0:00,99.605
4/1/03 0:00,99.85039
5/1/03 0:00,100.1251
6/1/03 0:00,100.2925
7/1/03 0:00,100.3611
8/1/03 0:00,100.3534
9/1/03 0:00,100.3595
10/1/03 0:00,100.4297
11/1/03 0:00,100.5609
12/1/03 0:00,100.7001
1/1/04 0:00,100.8439
2/1/04 0:00,100.8309
3/1/04 0:00,100.7873
4/1/04 0:00,100.7484
5/1/04 0:00,100.7273
6/1/04 0:00,100.7712
7/1/04 0:00,100.8276
8/1/04 0:00,100.8281
9/1/04 0:00,100.8022
10/1/04 0:00,100.8045
11/1/04 0:00,100.8583
12/1/04 0:00,100.9531
1/1/05 0:00,101.0297
2/1/05 0:00,101.0099
3/1/05 0:00,100.8766
4/1/05 0:00,100.7308
5/1/05 0:00,100.6743
6/1/05 0:00,100.714
7/1/05 0:00,100.6765
8/1/05 0:00,100.471
9/1/05 0:00,100.2231
10/1/05 0:00,100.2028
11/1/05 0:00,100.4297
12/1/05 0:00,100.7502
1/1/06 0:00,100.973
2/1/06 0:00,101.0199
3/1/06 0:00,100.981
4/1/06 0:00,100.8767
5/1/06 0:00,100.7063
6/1/06 0:00,100.6139
7/1/06 0:00,100.5879
8/1/06 0:00,100.6142
9/1/06 0:00,100.7567
10/1/06 0:00,100.9608
11/1/06 0:00,101.0735
12/1/06 0:00,101.1276
1/1/07 0:00,101.1367
2/1/07 0:00,101.0742
3/1/07 0:00,100.995
4/1/07 0:00,100.9722
5/1/07 0:00,100.991
6/1/07 0:00,100.9655
7/1/07 0:00,100.9205
8/1/07 0:00,100.7663
9/1/07 0:00,100.5677
10/1/07 0:00,100.3269
11/1/07 0:00,100.0503
12/1/07 0:00,99.83848
1/1/08 0:00,99.62064
2/1/08 0:00,99.31079
3/1/08 0:00,98.93796
4/1/08 0:00,98.47877
5/1/08 0:00,98.02797
6/1/08 0:00,97.67515
7/1/08 0:00,97.56521
8/1/08 0:00,97.64646
9/1/08 0:00,97.65712
10/1/08 0:00,97.38829
11/1/08 0:00,97.14152
12/1/08 0:00,97.0053
1/1/09 0:00,96.94335
2/1/09 0:00,96.95395
3/1/09 0:00,97.18362
4/1/09 0:00,97.64639
5/1/09 0:00,98.10754
6/1/09 0:00,98.45203
7/1/09 0:00,98.67484
8/1/09 0:00,98.88251
9/1/09 0:00,99.10322
10/1/09 0:00,99.20154
11/1/09 0:00,99.22929
12/1/09 0:00,99.29057
1/1/10 0:00,99.3609
2/1/10 0:00,99.37879
3/1/10 0:00,99.37676
4/1/10 0:00,99.35514
5/1/10 0:00,99.30553
6/1/10 0:00,99.25909
7/1/10 0:00,99.20962
8/1/10 0:00,99.22558
9/1/10 0:00,99.2502
10/1/10 0:00,99.29295
11/1/10 0:00,99.3733
12/1/10 0:00,99.40849
1/1/11 0:00,99.36987
2/1/11 0:00,99.26157
3/1/11 0:00,99.03362
4/1/11 0:00,98.90227
5/1/11 0:00,98.89468
6/1/11 0:00,98.81083
7/1/11 0:00,98.57451
8/1/11 0:00,98.29449
9/1/11 0:00,98.18349
10/1/11 0:00,98.19834
11/1/11 0:00,98.33154
12/1/11 0:00,98.51941
1/1/12 0:00,98.72913
2/1/12 0:00,98.8783
3/1/12 0:00,98.9463
4/1/12 0:00,98.94723
5/1/12 0:00,98.91451
6/1/12 0:00,98.82057
7/1/12 0:00,98.76771
8/1/12 0:00,98.76625
9/1/12 0:00,98.8081
10/1/12 0:00,98.86749
11/1/12 0:00,98.87522
12/1/12 0:00,98.82653
1/1/13 0:00,98.89527
2/1/13 0:00,99.01422
3/1/13 0:00,99.12502
4/1/13 0:00,99.23299
5/1/13 0:00,99.38017
6/1/13 0:00,99.50925
7/1/13 0:00,99.61319
8/1/13 0:00,99.62494
9/1/13 0:00,99.5701
10/1/13 0:00,99.49629
11/1/13 0:00,99.52267
12/1/13 0:00,99.6077
1/1/14 0:00,99.66212
2/1/14 0:00,99.70972
3/1/14 0:00,99.79803
4/1/14 0:00,99.90849
5/1/14 0:00,99.96263
6/1/14 0:00,99.9752
7/1/14 0:00,99.95143
8/1/14 0:00,99.93145
9/1/14 0:00,99.94174
10/1/14 0:00,99.99503
11/1/14 0:00,100.1027
12/1/14 0:00,100.2897
1/1/15 0:00,100.4967
2/1/15 0:00,100.6337
3/1/15 0:00,100.6935
4/1/15 0:00,100.6914
5/1/15 0:00,100.6253
6/1/15 0:00,100.5739
7/1/15 0:00,100.465
8/1/15 0:00,100.3759
9/1/15 0:00,100.3471
10/1/15 0:00,100.4527
11/1/15 0:00,100.5878
12/1/15 0:00,100.633
1/1/16 0:00,100.5652
2/1/16 0:00,100.457
3/1/16 0:00,100.3939
4/1/16 0:00,100.3982
5/1/16 0:00,100.451
6/1/16 0:00,100.4403
7/1/16 0:00,100.3606
8/1/16 0:00,100.3434
9/1/16 0:00,100.3775
10/1/16 0:00,100.4137
11/1/16 0:00,100.484
12/1/16 0:00,100.5401
1/1/17 0:00,100.5348
2/1/17 0:00,100.5598
3/1/17 0:00,100.6604
4/1/17 0:00,100.7687
5/1/17 0:00,100.84
6/1/17 0:00,100.8645
7/1/17 0:00,100.8962
8/1/17 0:00,100.9595
9/1/17 0:00,101.0345
10/1/17 0:00,101.1226
11/1/17 0:00,101.1467
12/1/17 0:00,101.1377
1/1/18 0:00,101.1371
2/1/18 0:00,101.1548
3/1/18 0:00,101.1638
4/1/18 0:00,101.1511
5/1/18 0:00,101.1455
6/1/18 0:00,101.1607
7/1/18 0:00,101.1829
8/1/18 0:00,101.1366
9/1/18 0:00,101.066
10/1/18 0:00,100.9734
11/1/18 0:00,100.8661
12/1/18 0:00,100.7878
1/1/19 0:00,100.76
2/1/19 0:00,100.8269
3/1/19 0:00,100.9069
4/1/19 0:00,100.9217
5/1/19 0:00,100.8895
6/1/19 0:00,100.7937
7/1/19 0:00,100.6653
8/1/19 0:00,100.5149
9/1/19 0:00,100.4944
10/1/19 0:00,100.5671
11/1/19 0:00,100.7077
12/1/19 0:00,100.8088
1/1/20 0:00,100.737
2/1/20 0:00,100.2484
3/1/20 0:00,99.203
4/1/20 0:00,98.08869
5/1/20 0:00,97.74179
6/1/20 0:00,97.94641
7/1/20 0:00,98.22287
8/1/20 0:00,98.47684
9/1/20 0:00,98.69292
10/1/20 0:00,98.77399
11/1/20 0:00,98.78541
12/1/20 0:00,98.89891
1/1/21 0:00,99.03822
2/1/21 0:00,99.31461
3/1/21 0:00,99.72405
4/1/21 0:00,100.0496
5/1/21 0:00,100.2954
6/1/21 0:00,100.4478
7/1/21 0:00,100.3484
8/1/21 0:00,100.1099
9/1/21 0:00,99.94754
10/1/21 0:00,99.7654
11/1/21 0:00,99.53822
12/1/21 0:00,99.29742
1/1/22 0:00,98.96212
2/1/22 0:00,98.49796
3/1/22 0:00,97.95445
4/1/22 0:00,97.56008
5/1/22 0:00,97.18614
6/1/22 0:00,96.81408
7/1/22 0:00,96.6148
8/1/22 0:00,96.62447
9/1/22 0:00,96.64845
10/1/22 0:00,96.74806
11/1/22 0:00,96.92993
12/1/22 0:00,97.20286
1/1/23 0:00,97.50848
2/1/23 0:00,97.75454
3/1/23 0:00,97.9194
4/1/23 0:00,98.12475
5/1/23 0:00,98.3099
6/1/23 0:00,98.48907
7/1/23 0:00,98.57431
8/1/23 0:00,98.47832
9/1/23 0:00,98.32042
10/1/23 0:00,98.21912
11/1/23 0:00,98.32724
12/1/23 0:00,98.65212
1/1/24 0:00,98.99636
2/1/24 0:00,99.18212
3/1/24 0:00,99.23793
4/1/24 0:00,99.15955
5/1/24 0:00,99.01525
6/1/24 0:00,98.93217
7/1/24 0:00,98.90739
8/1/24 0:00,98.93565
9/1/24 0:00,98.99074
10/1/24 0:00,99.05648
