Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
BDI,618,Burundi,Rate,GDP deflator Index growth rate,-0.3,3.8,3.9,5.9,15.8,15.8,6.8,6.9,2.1,26.5,48.5,-7.2,6.7,5.4,16.9,5.0,-3.5,-3.4,1.4,15.9,4.3,3.4,5.4,7.7,6.6,16.1,14.4,29.8,11.4,20.6,26.3,14.2,3.1,7.9,14.3,14.9,2.8,8.3,24.2,10.1,8.9,8.4,14.3,8.0,5.3,21.3,1.0,11.4,-2.9,-0.6,6.0,9.9,8.5,33.1,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,Rate,GDP deflator Index growth rate,6.7,5.4,6.3,6.8,12.2,12.9,7.6,7.5,4.4,4.5,4.1,5.1,7.6,5.6,5.4,4.6,2.8,1.7,2.2,4.8,2.8,2.9,3.4,4.0,2.1,4.1,0.5,0.8,1.8,0.6,2.0,2.0,1.6,1.9,1.9,2.1,2.3,1.9,1.9,0.5,1.9,1.8,2.0,1.3,1.0,1.3,1.9,1.8,1.6,1.7,0.9,2.9,6.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,
BEN,638,Benin,Rate,GDP deflator Index growth rate,6.3,2.8,3.9,6.9,14.4,-34.4,8.3,9.9,8.5,11.9,5.8,-15.2,13.9,12.1,11.3,2.8,-4.2,3.7,-0.3,1.8,-3.8,0.8,3.0,2.4,35.0,15.1,6.9,3.7,5.2,9.6,4.3,2.0,3.6,3.1,0.8,4.3,2.1,0.4,6.4,2.5,0.9,3.7,7.7,1.4,-0.2,0.9,0.7,-0.4,0.6,-0.3,1.5,-1.5,1.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,
BFA,748,Burkina Faso,Rate,GDP deflator Index growth rate,1.8,2.1,-3.0,7.6,8.7,18.8,-8.4,30.0,3.4,18.0,8.3,9.0,11.1,7.3,0.9,2.1,-6.3,1.2,3.4,4.8,1.8,-4.0,0.2,-1.4,14.6,6.8,0.3,1.6,7.9,4.4,-0.8,4.0,3.1,1.5,0.1,3.7,-0.7,2.5,9.2,2.4,3.8,6.7,5.8,-2.1,-0.6,-2.2,2.5,2.0,2.4,-3.0,2.2,-0.8,-0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,Rate,GDP deflator Index growth rate,0.5,3.0,4.4,61.4,44.5,80.6,-17.6,-3.2,25.6,12.6,17.6,,9.7,8.5,14.0,11.2,8.0,10.9,7.6,8.5,6.3,6.6,3.0,0.3,3.8,7.3,4.2,3.1,5.3,4.7,1.9,1.6,3.2,4.5,4.2,5.1,5.2,6.5,7.9,6.8,7.1,7.9,8.2,7.2,5.7,5.9,6.7,6.3,5.6,4.5,5.1,4.1,4.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,Rate,GDP deflator Index growth rate,,,,,,,,,,,,2.5,0.0,0.0,2.4,0.0,0.0,2.4,2.3,4.5,26.1,232.8,61.7,68.6,82.5,70.3,117.6,914.0,33.3,3.2,7.2,6.1,3.8,2.3,5.6,6.5,6.8,11.1,8.1,4.0,1.1,5.9,1.5,-0.7,0.5,2.4,2.5,3.9,4.0,5.3,2.0,7.1,15.1,8.2,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,Rate,GDP deflator Index growth rate,1.7,5.8,5.1,14.3,24.4,16.2,22.6,18.3,9.3,12.8,5.8,9.5,-1.2,-4.2,-0.4,-4.8,-22.1,9.7,16.6,3.3,2.6,2.6,-2.5,2.2,3.8,3.9,0.7,1.3,-8.8,2.3,11.7,-1.1,1.0,8.6,11.0,13.7,8.8,8.4,11.4,-13.0,7.4,9.7,3.0,0.4,-1.7,-9.3,0.2,5.5,4.4,0.2,-6.9,9.5,7.8,-6.3,,,,,,,,,,,,,,,,,,,,,,,,
BHS,313,"Bahamas, The",Rate,GDP deflator Index growth rate,6.1,4.6,6.8,5.6,13.2,10.7,2.4,1.7,2.2,8.6,10.0,6.7,5.9,4.2,4.3,4.6,5.4,6.2,1.7,10.2,-5.6,2.6,3.9,-0.9,2.2,0.8,1.0,1.4,3.0,5.0,0.9,0.4,4.0,1.2,1.2,5.1,0.8,2.9,1.5,-1.0,-0.4,-0.9,3.3,1.3,4.0,5.2,0.4,1.5,1.2,3.0,-1.0,1.6,1.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,
BIH,963,Bosnia and Herzegovina,Rate,GDP deflator Index growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,2.6,3.5,6.8,4.7,5.0,1.4,2.5,3.1,6.9,6.4,8.1,0.0,1.5,2.5,0.6,-0.2,0.9,1.6,1.4,1.7,2.7,2.6,-0.4,4.9,10.5,12.3,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,Rate,GDP deflator Index growth rate,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,150.0,53.3,71.7,77.2,315.7,195.5,79.4,44.9,30.7,22.7,18.9,10.7,12.8,21.1,5.7,11.3,71.2,75.4,21.3,18.2,16.0,8.4,8.6,12.2,8.6,10.1,13.1,13.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,339,Belize,Rate,GDP deflator Index growth rate,21.4,18.6,20.7,67.0,20.8,20.8,-2.9,12.2,-7.0,25.7,17.0,4.0,8.1,-0.6,0.2,0.6,1.5,-4.1,6.6,-0.1,2.0,-3.2,4.0,1.7,3.6,6.1,2.0,-1.5,1.5,-2.2,0.5,-0.3,1.7,-2.8,2.0,2.8,4.8,4.5,2.7,-2.7,1.5,4.1,1.8,2.4,1.6,0.8,2.9,1.6,-0.2,0.2,0.1,4.0,4.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,
BMU,,Bermuda,Rate,GDP deflator Index growth rate,6.3,9.5,9.5,12.8,15.0,6.4,2.8,9.3,4.9,6.4,9.9,17.7,12.2,11.0,10.3,7.6,5.8,6.5,4.9,5.6,6.0,6.4,2.8,5.2,2.0,4.2,29.4,4.0,2.7,2.7,-4.2,-1.4,8.6,2.8,4.7,6.8,19.6,6.6,5.1,1.0,2.2,-1.2,6.7,1.7,3.0,3.0,4.4,-0.1,1.6,3.1,-0.4,0.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,218,Bolivia,Rate,GDP deflator Index growth rate,3.8,3.7,6.5,31.5,62.8,8.0,4.5,8.1,15.5,18.1,32.7,0.0,100.0,350.0,1422.2,12377.4,230.0,14.0,18.2,13.2,16.3,17.7,13.2,6.6,8.0,11.4,11.6,5.7,7.1,2.4,5.2,1.9,2.8,6.3,8.0,5.9,13.7,7.4,10.4,-2.4,8.8,14.6,7.1,6.0,2.0,-4.6,-1.4,6.1,3.1,-0.7,3.6,4.0,5.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,
BRA,223,Brazil,Rate,GDP deflator Index growth rate,17.1,20.3,19.1,22.7,34.8,33.9,47.6,46.2,41.1,56.5,87.3,107.2,104.8,140.2,212.8,231.7,145.3,204.1,651.1,1209.1,2700.4,414.2,968.2,2001.3,2302.8,89.5,18.5,7.7,4.9,8.0,5.6,8.2,9.8,14.1,7.8,7.4,6.8,6.4,8.8,7.3,8.4,8.3,7.9,7.5,7.8,7.6,8.1,3.6,3.3,4.2,4.8,11.1,7.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,
