,Consumer Confidence Index (CCI): sa
Region,United States
Subnational,
Frequency,Monthly
Unit,1985=100
Source,The Conference Board
Status,Active
Series ID,41044301 (UHEA)
SR Code,SR148178
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,02/1967
Last Obs. Date,10/2024
Last Update Time,29/10/2024
Series remarks,[COVID-19-IMPACT]
Suggestions,
06/1999,139
07/1999,136.2
08/1999,136
09/1999,134.2
10/1999,130.5
11/1999,137
12/1999,141.7
01/2000,144.7
02/2000,140.8
03/2000,137.1
04/2000,137.7
05/2000,144.7
06/2000,139.2
07/2000,143
08/2000,140.8
09/2000,142.5
10/2000,135.8
11/2000,132.6
12/2000,128.6
01/2001,115.7
02/2001,109.2
03/2001,116.9
04/2001,109.9
05/2001,116.1
06/2001,118.9
07/2001,116.3
08/2001,114
09/2001,97
10/2001,85.3
11/2001,84.9
12/2001,94.6
01/2002,97.8
02/2002,95
03/2002,110.7
04/2002,108.5
05/2002,110.3
06/2002,106.3
07/2002,97.4
08/2002,94.5
09/2002,93.7
10/2002,79.6
11/2002,84.9
12/2002,80.7
01/2003,78.8
02/2003,64.8
03/2003,61.4
04/2003,81
05/2003,83.6
06/2003,83.5
07/2003,77
08/2003,81.7
09/2003,77
10/2003,81.7
11/2003,92.5
12/2003,94.8
01/2004,97.7
02/2004,88.5
03/2004,88.5
04/2004,93
05/2004,93.1
06/2004,102.8
07/2004,105.7
08/2004,98.7
09/2004,96.7
10/2004,92.9
11/2004,92.6
12/2004,102.7
01/2005,105.1
02/2005,104.4
03/2005,103
04/2005,97.5
05/2005,103.1
06/2005,106.2
07/2005,103.6
08/2005,105.5
09/2005,87.5
10/2005,85.2
11/2005,98.3
12/2005,103.8
01/2006,106.8
02/2006,102.7
03/2006,107.5
04/2006,109.8
05/2006,104.7
06/2006,105.4
07/2006,107
08/2006,100.2
09/2006,105.9
10/2006,105.1
11/2006,105.3
12/2006,110
01/2007,110.2
02/2007,111.2
03/2007,108.2
04/2007,106.3
05/2007,108.5
06/2007,105.3
07/2007,111.9
08/2007,105.6
09/2007,99.5
10/2007,95.2
11/2007,87.8
12/2007,90.6
01/2008,87.3
02/2008,76.4
03/2008,65.9
04/2008,62.8
05/2008,58.1
06/2008,51
07/2008,51.9
08/2008,58.5
09/2008,61.4
10/2008,38.8
11/2008,44.7
12/2008,38.6
01/2009,37.4
02/2009,25.3
03/2009,26.9
04/2009,40.8
05/2009,54.8
06/2009,49.3
07/2009,47.4
08/2009,54.5
09/2009,53.4
10/2009,48.7
11/2009,50.6
12/2009,53.6
01/2010,56.5
02/2010,46.4
03/2010,52.3
04/2010,57.7
05/2010,62.7
06/2010,54.3
07/2010,51
08/2010,53.2
09/2010,48.6
10/2010,49.9
11/2010,57.8
12/2010,63.4
01/2011,64.8
02/2011,72
03/2011,63.8
04/2011,66
05/2011,61.7
06/2011,57.6
07/2011,59.2
08/2011,45.2
09/2011,46.4
10/2011,40.9
11/2011,55.2
12/2011,64.8
01/2012,61.5
02/2012,71.6
03/2012,69.5
04/2012,68.7
05/2012,64.4
06/2012,62.7
07/2012,65.4
08/2012,61.3
09/2012,68.4
10/2012,73.1
11/2012,71.5
12/2012,66.7
01/2013,58.4
02/2013,68
03/2013,61.9
04/2013,69
05/2013,74.3
06/2013,82.1
07/2013,81
08/2013,81.8
09/2013,80.2
10/2013,72.4
11/2013,72
12/2013,77.5
01/2014,79.4
02/2014,78.3
03/2014,83.9
04/2014,81.7
05/2014,82.2
06/2014,86.4
07/2014,90.3
08/2014,93.4
09/2014,89
10/2014,94.1
11/2014,91
12/2014,93.1
01/2015,103.8
02/2015,98.8
03/2015,101.4
04/2015,94.3
05/2015,94.6
06/2015,99.8
07/2015,91
08/2015,101.3
09/2015,102.6
10/2015,99.1
11/2015,92.6
12/2015,96.3
01/2016,97.8
02/2016,94
03/2016,96.1
04/2016,94.7
05/2016,92.4
06/2016,97.4
07/2016,96.7
08/2016,101.8
09/2016,103.5
10/2016,100.8
11/2016,109.4
12/2016,113.3
01/2017,111.6
02/2017,116.1
03/2017,124.9
04/2017,119.4
05/2017,117.6
06/2017,117.3
07/2017,120
08/2017,120.4
09/2017,120.6
10/2017,126.2
11/2017,128.6
12/2017,123.1
01/2018,124.3
02/2018,130
03/2018,127
04/2018,125.6
05/2018,128.8
06/2018,127.1
07/2018,127.9
08/2018,134.7
09/2018,135.3
10/2018,137.9
11/2018,136.4
12/2018,126.6
01/2019,121.7
02/2019,131.4
03/2019,124.2
04/2019,129.2
05/2019,131.3
06/2019,124.3
07/2019,135.8
08/2019,134.2
09/2019,126.3
10/2019,126.1
11/2019,126.8
12/2019,128.2
01/2020,130.4
02/2020,132.6
03/2020,118.8
04/2020,85.7
05/2020,85.9
06/2020,98.3
07/2020,91.7
08/2020,86.3
09/2020,101.3
10/2020,101.4
11/2020,92.9
12/2020,87.1
01/2021,87.1
02/2021,95.2
03/2021,114.9
04/2021,117.5
05/2021,120
06/2021,128.9
07/2021,125.1
08/2021,115.2
09/2021,109.8
10/2021,111.6
11/2021,111.9
12/2021,115.2
01/2022,111.1
02/2022,105.7
03/2022,107.6
04/2022,108.6
05/2022,103.2
06/2022,98.4
07/2022,95.3
08/2022,103.6
09/2022,107.8
10/2022,102.2
11/2022,101.4
